Codesys Binary,Program Language,Basic,Network,Building,FuncLabels
ACOSH.app,Structured Text,1,0,0,Mathematics
ACOTH.app,Structured Text,1,0,0,Mathematics
AGDF.app,Structured Text,1,0,0,Mathematics
AIN.app,Structured Text,1,0,0,Signal_Proc
AIN1.app,Structured Text,1,0,0,Signal_Proc
ALARM_2.app,Structured Text,1,0,0,Measure_Mods
AOUT.app,Structured Text,1,0,0,Signal_Proc
AOUT1.app,Structured Text,1,0,0,Signal_Proc
ARRAY_AVG.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_GAV.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_HAV.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MAX.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MIN.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SDV.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SPR.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SUM.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_TREND.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_VAR.app,Structured Text,1,0,0,Array_Buffer_Mem_List
ASINH.app,Structured Text,1,0,0,Mathematics
ASTRO.app,Structured Text,1,0,0,Calculations
ATAN2.app,Structured Text,1,0,0,Mathematics
ATANH.app,Structured Text,1,0,0,Mathematics
A_TRIG.app,Structured Text,1,0,0,Pulse_Gen
BAND_B.app,Structured Text,1,0,0,Ctrl_Mods
BAR_GRAPH.app,Structured Text,1,0,0,Measure_Mods
BCDC_TO_INT.app,Structured Text,1,0,0,Logic_Mods
BETA.app,Structured Text,1,0,0,Mathematics
BFT_TO_MS.app,Structured Text,1,0,0,Calculations
BINOM.app,Structured Text,1,0,0,Mathematics
BIT_COUNT.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B2.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW2.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W.app,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W2.app,Structured Text,1,0,0,Logic_Mods
BIT_OF_DWORD.app,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_B.app,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_DW.app,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_W.app,Structured Text,1,0,0,Logic_Mods
BUFFER_COMP.app,Structured Text,1,0,0,Array_Buffer_Mem_List
BYTE_OF_BIT.app,Structured Text,1,0,0,Logic_Mods
BYTE_OF_DWORD.app,Structured Text,1,0,0,Logic_Mods
BYTE_TO_BITS.app,Structured Text,1,0,0,Logic_Mods
BYTE_TO_GRAY.app,Structured Text,1,0,0,Logic_Mods
BYTE_TO_RANGE.app,Structured Text,1,0,0,Signal_Proc
BYTE_TO_STRB.app,Structured Text,1,0,0,Str_Func
BYTE_TO_STRH.app,Structured Text,1,0,0,Str_Func
B_TRIG.app,Structured Text,1,0,0,Pulse_Gen
CABS.app,Structured Text,1,0,0,Complex_Math
CACOS.app,Structured Text,1,0,0,Complex_Math
CACOSH.app,Structured Text,1,0,0,Complex_Math
CADD.app,Structured Text,1,0,0,Complex_Math
CALENDAR_CALC.app,Structured Text,1,0,0,Time_and_Date
CALIBRATE.app,Structured Text,1,0,0,Measure_Mods
CARG.app,Structured Text,1,0,0,Complex_Math
CASIN.app,Structured Text,1,0,0,Complex_Math
CASINH.app,Structured Text,1,0,0,Complex_Math
CATAN.app,Structured Text,1,0,0,Complex_Math
CATANH.app,Structured Text,1,0,0,Complex_Math
CAUCHY.app,Structured Text,1,0,0,Mathematics
CAUCHYCD.app,Structured Text,1,0,0,Mathematics
CCON.app,Structured Text,1,0,0,Complex_Math
