GEB Binaries,Program Language,Basic,Network,Building,FuncLabels
ACOSH.bin,Structured Text,1,0,0,Mathematics
ACOTH.bin,Structured Text,1,0,0,Mathematics
ACTUATOR_3P.bin,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_COIL.bin,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_PUMP.bin,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_UD.bin,Structured Text,0,0,1,Actuators_HAVC
AGDF.bin,Structured Text,1,0,0,Mathematics
AIN.bin,Structured Text,1,0,0,Signal_Proc
AIN1.bin,Structured Text,1,0,0,Signal_Proc
AIR_DENSITY.bin,Structured Text,0,0,1,Actuators_HAVC
AIR_ENTHALPY.bin,Structured Text,0,0,1,Actuators_HAVC
ALARM_2.bin,Structured Text,1,0,0,Measure_Mods
AOUT.bin,Structured Text,1,0,0,Signal_Proc
AOUT1.bin,Structured Text,1,0,0,Signal_Proc
ARRAY_AVG.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_GAV.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_HAV.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MAX.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MEDIAN.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MIN.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SDV.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SPR.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SUM.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_TREND.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_VAR.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
ASINH.bin,Structured Text,1,0,0,Mathematics
ASTRO.bin,Structured Text,1,0,0,Calculations
ATAN2.bin,Structured Text,1,0,0,Mathematics
ATANH.bin,Structured Text,1,0,0,Mathematics
A_TRIG.bin,Structured Text,1,0,0,Pulse_Gen
BAND_B.bin,Structured Text,1,0,0,Ctrl_Mods
BAR_GRAPH.bin,Structured Text,1,0,0,Measure_Mods
BASE64_DECODE_STREAM.bin,Structured Text,0,1,0,Network_2
BCDC_TO_INT.bin,Structured Text,1,0,0,Logic_Mods
BETA.bin,Structured Text,1,0,0,Mathematics
BFT_TO_MS.bin,Structured Text,1,0,0,Calculations
BINOM.bin,Structured Text,1,0,0,Mathematics
BIT_COUNT.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B2.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW2.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W.bin,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W2.bin,Structured Text,1,0,0,Logic_Mods
BIT_OF_DWORD.bin,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_B.bin,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_DW.bin,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_W.bin,Structured Text,1,0,0,Logic_Mods
BLIND_ACTUATOR.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_CONTROL.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_CONTROL_S.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_NIGHT.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_SCENE.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_SECURITY.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_SET.bin,Structured Text,0,0,1,Building_Other_Func
BLIND_SHADE_S.bin,Structured Text,0,0,1,Building_Other_Func
BOILER.bin,Structured Text,0,0,1,Actuators_HAVC
BUFFER_COMP.bin,Structured Text,1,0,0,Array_Buffer_Mem_List
BUFFER_COMP_NW.bin,Structured Text,0,1,0,Array_Buffer_Mem_List
BUILDING_VERSION.bin,Structured Text,0,0,1,Building_Other_Func
BURNER.bin,Structured Text,0,0,1,Actuators_HAVC
BYTE_OF_BIT.bin,Structured Text,1,0,0,Logic_Mods
BYTE_OF_DWORD.bin,Structured Text,1,0,0,Logic_Mods
BYTE_TO_BITS.bin,Structured Text,1,0,0,Logic_Mods
BYTE_TO_GRAY.bin,Structured Text,1,0,0,Logic_Mods
BYTE_TO_RANGE.bin,Structured Text,1,0,0,Signal_Proc
BYTE_TO_STRB.bin,Structured Text,1,0,0,Str_Func
BYTE_TO_STRH.bin,Structured Text,1,0,0,Str_Func
BYTE_TO_TIME.bin,Structured Text,1,0,0,Logic_Mods
B_TRIG.bin,Structured Text,1,0,0,Pulse_Gen
CABS.bin,Structured Text,1,0,0,Complex_Math
CACOS.bin,Structured Text,1,0,0,Complex_Math
CACOSH.bin,Structured Text,1,0,0,Complex_Math
CADD.bin,Structured Text,1,0,0,Complex_Math
CALENDAR_CALC.bin,Structured Text,1,0,0,Time_and_Date
CALIBRATE.bin,Structured Text,1,0,0,Measure_Mods
CARG.bin,Structured Text,1,0,0,Complex_Math
CASIN.bin,Structured Text,1,0,0,Complex_Math
CASINH.bin,Structured Text,1,0,0,Complex_Math
CATAN.bin,Structured Text,1,0,0,Complex_Math
CATANH.bin,Structured Text,1,0,0,Complex_Math
CAUCHY.bin,Structured Text,1,0,0,Mathematics
CAUCHYCD.bin,Structured Text,1,0,0,Mathematics
CCON.bin,Structured Text,1,0,0,Complex_Math
CCOS.bin,Structured Text,1,0,0,Complex_Math
CCOSH.bin,Structured Text,1,0,0,Complex_Math
CDIV.bin,Structured Text,1,0,0,Complex_Math
CEIL.bin,Structured Text,1,0,0,Mathematics
CEIL2.bin,Structured Text,1,0,0,Mathematics
CEXP.bin,Structured Text,1,0,0,Complex_Math
CHARNAME.bin,Structured Text,1,0,0,Str_Func
CHECK_PARITY.bin,Structured Text,1,0,0,Logic_Mods
CHR_TO_STRING.bin,Structured Text,1,0,0,Str_Func
CINV.bin,Structured Text,1,0,0,Complex_Math
CIRCLE_A.bin,Structured Text,1,0,0,Basic_Other_Func
CIRCLE_C.bin,Structured Text,1,0,0,Basic_Other_Func
CIRCLE_SEG.bin,Structured Text,1,0,0,Basic_Other_Func
CLEAN.bin,Structured Text,1,0,0,Str_Func
CLICK_CNT.bin,Structured Text,1,0,0,Pulse_Gen
CLICK_DEC.bin,Structured Text,1,0,0,Pulse_Gen
CLK_DIV.bin,Structured Text,1,0,0,Pulse_Gen
CLK_N.bin,Structured Text,1,0,0,Pulse_Gen
CLK_PRG.bin,Structured Text,1,0,0,Pulse_Gen
CLK_PULSE.bin,Structured Text,1,0,0,Pulse_Gen
CLOG.bin,Structured Text,1,0,0,Complex_Math
CMP.bin,Structured Text,1,0,0,Mathematics
CMUL.bin,Structured Text,1,0,0,Complex_Math
CONE_V.bin,Structured Text,1,0,0,Basic_Other_Func
CONTROL_SET1.bin,Structured Text,1,0,0,Ctrl_Mods
CONTROL_SET2.bin,Structured Text,1,0,0,Ctrl_Mods
COSH.bin,Structured Text,1,0,0,Mathematics
COTH.bin,Structured Text,1,0,0,Mathematics
COUNT_BR.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
COUNT_DR.bin,Structured Text,1,0,0,Latches_FlipFlop_ShiftReg
COUNT_SUBSTRING.bin,Structured Text,1,0,0,Str_Func
CPOL.bin,Structured Text,1,0,0,Complex_Math
CPOW.bin,Structured Text,1,0,0,Complex_Math
CRC_GEN.bin,Structured Text,1,0,0,Logic_Mods
CSET.bin,Structured Text,1,0,0,Complex_Math
CSIN.bin,Structured Text,1,0,0,Complex_Math
CSINH.bin,Structured Text,1,0,0,Complex_Math
CSQRT.bin,Structured Text,1,0,0,Complex_Math
CSUB.bin,Structured Text,1,0,0,Complex_Math
CTAN.bin,Structured Text,1,0,0,Complex_Math
CTANH.bin,Structured Text,1,0,0,Complex_Math
