ProgramName,OpenPLCv2,OpenPLCv3,Codesys,GEB,FuncLabels,ProgramLang,Basic,Network_Communication,Building
ACOSH,1,1,1,1,Mathematics,Structured Text,1,0,0
ACOTH,1,1,1,1,Mathematics,Structured Text,1,0,0
ACTUATOR_3P,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
ACTUATOR_A,1,1,0,0,Actuators_HVAC,Structured Text,0,0,1
ACTUATOR_COIL,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
ACTUATOR_PUMP,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
ACTUATOR_UD,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
AGDF,1,1,1,1,Mathematics,Structured Text,1,0,0
AIN,1,1,1,1,Signal_Proc,Structured Text,1,0,0
AIN1,1,1,1,1,Signal_Proc,Structured Text,1,0,0
AIR_DENSITY,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
AIR_ENTHALPY,1,1,0,1,Actuators_HVAC,Structured Text,0,0,1
ALARM_2,1,1,1,1,Measure_Mods,Structured Text,1,0,0
AOUT,1,1,1,1,Signal_Proc,Structured Text,1,0,0
AOUT1,1,1,1,1,Signal_Proc,Structured Text,1,0,0
ARRAY_AVG,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_GAV,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_HAV,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_MAX,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_MEDIAN,1,1,0,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_MIN,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_SDV,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_SPR,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_SUM,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_TREND,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ARRAY_VAR,1,1,1,1,Array_Buffer_Mem_List,Structured Text,1,0,0
ASINH,1,1,1,1,Mathematics,Structured Text,1,0,0
ASTRO,1,1,1,1,Calculations,Structured Text,1,0,0
ATAN2,1,1,1,1,Mathematics,Structured Text,1,0,0
ATANH,1,1,1,1,Mathematics,Structured Text,1,0,0
AUTORUN,1,1,0,0,Actuators_HVAC,Structured Text,0,0,1
A_TRIG,1,1,1,1,Pulse_Gen,Structured Text,1,0,0
BAND_B,1,1,1,1,Ctrl_Mods,Structured Text,1,0,0
BAR_GRAPH,1,1,1,1,Measure_Mods,Structured Text,1,0,0
BASE64_DECODE_STREAM,1,1,0,1,Network_Communication,Structured Text,0,1,0
BCDC_TO_INT,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BETA,1,1,1,1,Mathematics,Structured Text,1,0,0
BFT_TO_MS,1,1,1,1,Calculations,Structured Text,1,0,0
BINOM,1,1,1,1,Mathematics,Structured Text,1,0,0
BIT_COUNT,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_B,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_B2,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_DW,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_DW2,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_W,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_LOAD_W2,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_OF_DWORD,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_TOGGLE_B,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_TOGGLE_DW,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BIT_TOGGLE_W,1,1,1,1,Logic_Mods,Structured Text,1,0,0
BLIND_ACTUATOR,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_CONTROL,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_CONTROL_S,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_INPUT,1,1,0,0,Building_Other_Func,Structured Text,0,0,1
BLIND_NIGHT,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_SCENE,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_SECURITY,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_SET,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
BLIND_SHADE_S,1,1,0,1,Building_Other_Func,Structured Text,0,0,1
