OpenPLCv3 Binaries,Program Language,Basic,Network,Building,FuncLabels
ACOSH.exe,Structured Text,1,0,0,Mathematics
ACOTH.exe,Structured Text,1,0,0,Mathematics
ACTUATOR_3P.exe,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_A.exe,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_COIL.exe,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_PUMP.exe,Structured Text,0,0,1,Actuators_HAVC
ACTUATOR_UD.exe,Structured Text,0,0,1,Actuators_HAVC
AGDF.exe,Structured Text,1,0,0,Mathematics
AIN.exe,Structured Text,1,0,0,Signal_Proc
AIN1.exe,Structured Text,1,0,0,Signal_Proc
AIR_DENSITY.exe,Structured Text,0,0,1,Actuators_HAVC
AIR_ENTHALPY.exe,Structured Text,0,0,1,Actuators_HAVC
ALARM_2.exe,Structured Text,1,0,0,Measure_Mods
AOUT.exe,Structured Text,1,0,0,Signal_Proc
AOUT1.exe,Structured Text,1,0,0,Signal_Proc
ARRAY_AVG.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_GAV.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_HAV.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MAX.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MEDIAN.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_MIN.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SDV.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SPR.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_SUM.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_TREND.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ARRAY_VAR.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
ASINH.exe,Structured Text,1,0,0,Mathematics
ASTRO.exe,Structured Text,1,0,0,Calculations
ATAN2.exe,Structured Text,1,0,0,Mathematics
ATANH.exe,Structured Text,1,0,0,Mathematics
AUTORUN.exe,Structured Text,0,0,1,Actuators_HAVC
A_TRIG.exe,Structured Text,1,0,0,Pulse_Gen
BAND_B.exe,Structured Text,1,0,0,Ctrl_Mods
BAR_GRAPH.exe,Structured Text,1,0,0,Measure_Mods
BASE64_DECODE_STREAM.exe,Structured Text,0,1,0,Network_2
BCDC_TO_INT.exe,Structured Text,1,0,0,Logic_Mods
BETA.exe,Structured Text,1,0,0,Mathematics
BFT_TO_MS.exe,Structured Text,1,0,0,Calculations
BINOM.exe,Structured Text,1,0,0,Mathematics
BIT_COUNT.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_B2.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_DW2.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W.exe,Structured Text,1,0,0,Logic_Mods
BIT_LOAD_W2.exe,Structured Text,1,0,0,Logic_Mods
BIT_OF_DWORD.exe,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_B.exe,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_DW.exe,Structured Text,1,0,0,Logic_Mods
BIT_TOGGLE_W.exe,Structured Text,1,0,0,Logic_Mods
BLIND_ACTUATOR.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_CONTROL.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_CONTROL_S.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_INPUT.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_NIGHT.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_SCENE.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_SECURITY.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_SET.exe,Structured Text,0,0,1,Building_Other_Func
BLIND_SHADE_S.exe,Structured Text,0,0,1,Building_Other_Func
BOILER.exe,Structured Text,0,0,1,Actuators_HAVC
BUFFER_COMP.exe,Structured Text,1,0,0,Array_Buffer_Mem_List
BUFFER_COMP_NW.exe,Structured Text,0,1,0,Array_Buffer_Mem_List
BUILDING_VERSION.exe,Structured Text,0,0,1,Building_Other_Func
BURNER.exe,Structured Text,0,0,1,Actuators_HAVC
BYTE_OF_BIT.exe,Structured Text,1,0,0,Logic_Mods
BYTE_OF_DWORD.exe,Structured Text,1,0,0,Logic_Mods
BYTE_TO_BITS.exe,Structured Text,1,0,0,Logic_Mods
BYTE_TO_GRAY.exe,Structured Text,1,0,0,Logic_Mods
BYTE_TO_RANGE.exe,Structured Text,1,0,0,Signal_Proc
BYTE_TO_STRB.exe,Structured Text,1,0,0,Str_Func
BYTE_TO_STRH.exe,Structured Text,1,0,0,Str_Func
BYTE_TO_TIME.exe,Structured Text,1,0,0,Logic_Mods
B_TRIG.exe,Structured Text,1,0,0,Pulse_Gen
